"Column1","Column2"
"Finish purchase","Fullfør kjøpet"
"Submitting order information...","Submitting order information..."
"Are you sure you want to remove this?","Er du sikker på at du ønsker å slette dette?"
"Sorry, something went wrong. Please try again (reload this page)","Noe gikk galt, vennligst forsøkt på nytt(last opp side på nytt)"
"Sorry, something went wrong. Please try again later.","Noe gikk galt, vennligst forsøk på nytt."
"The cart was updated (from another location), reloading the checkout, please wait...","Kassen ble oppdatert(fra annet sted), laster kassen på nytt, vennligst vent"
"The requested changes were not applied. The cart was updated (from another location), please review the cart.","De forespurte endringene ble ikke brukt. Handlekurven ble oppdatert (fra et annet sted), vennligst se over handlekurven."
"We can't update your subscription.","Abonnementet kan ikke oppdateres."
"Coupon code is not valid (or missing)","Rabatt kode er ikke gyldig(eller mangler)"
"Coupon code %1 was applied.","Rabatt kode %1 ble anvendt."
"Coupon code %1 is not valid,","Rabatt kode %1 er ikke gyldig."
"Coupon code was canceled.","Rabatt kode ble sletttet"
"We can't apply your coupon.","Vi kan ikke bruke din rabatt."
"We can't update your Country / postal code.","Vi kan ikke oppdatere din lands/ post nr."
"Order redeived","Ordre mottatt."
"We can't update your comment.","Vi kan ikke opdatere notatet ditt."
"Invalid Quote hash","Invalid Quote hash"
"Found no svea order id.","Fant ikke svea ordre ID."
"The Svea Order ID is invalid.","Sveas ordre ID er ugyldig."
"Found no Svea Order for this session. Please refresh the site or clear your cookies.","Fant ingen Svea ordre for denne øvelsen, vennligst oppdater siden eller tøm informasjonskapslene dine."
"Something went wrong when we tried to retrieve the order from Svea. Please try again or contact an admin.","Noe gikk galt ved henting av odre fra Svea. Vennligst forsøk på nytt eller ta kontakt med en adminisstrator."
"Something went wrong... Contact site admin.","Noe gikk galt.. Kontakt administrator."
"Found no quote object for this Svea order ID.","Fant ingen tilbud for denne Svea ordre ID."
"Please add shipping information.","Vennligst legg til fraktinformasjon."
"The country or postal code doesn't match with the one you entered earlier. Please re-enter the new postal code for the shipping above.","Land - eller postnummer stemmer ikke overens med det du oppga tidligere. Vennligst oppdater postnummeret for forsendelsen ovenfor."
"Please choose a shipping method.","Vennligst velg fraktmetode."
"Could not place the order.","Kunne ikke registrere ordre."
"We can't update shipping method.","Kan ikke oppdatere fraktmetoden."
"Order id missing","Ordre ID mangler."
"An error occurred...","En feil oppsto"
"Cannot update checkout (%1)","Kan ikke oppdatere kassen(%1)"
"Cannot initialize Svea Checkout (%1)","Kan ikke starte Svea Checkcout(%1)"
"Svea Checkout","Svea Checkout"
"Invoice Fee","Fakturagebyr"
"Crosssell products","Krysssalg av tillbehør"
"Date:,Date:","Dato:,. Dato:"
"Total:,Total:","Totalt:, Totalt:"
"You will be redirected to the Svea Checkout page.","Du blir sendt videre til Svea Checkout siden."
"Svea","Svea"
"Connection","Forbindelse"
"Enabled,Enabled","Aktivert:, Aktivert:"
"Testmode","Testmodus"
"Merchant ID","Butikk ID"
"Merchant ID, you will get this from Svea.","Butikk ID, dette får du fra Svea."
"Shared Secret","Hemmelig kode"
"The shared secret, you will get this from Svea.","hemmelig kode, denne får du fra Svea."
"Settings,Settings","Instillinger. Instillinger"
"Default Country","Standard land"
"Only if multiple countries are allowed. If this is invalid, the first allowed country will be used","Bare hvis flere land er tillatt. Hvis dette er ugyldig, blir det første landet benyttet."
"Allowed Payment Countries","Tillatte land betaling"
""Assure that selected countries are in <strong>Allow Countries</strong> list (<em>System &raquo"," Configuration &raquo"," General &raquo"," General</em>)"",""Forsikre deg om at valgt land er i <strong>Allow Countries</strong> list (<em>System &raquo"," Configuration &raquo"," General &raquo"," General</em>)""
"Capture/Refund payment","Belaste/returnere betaling"
"If NO, no payment operations will be done (Capture/Refund/Void) on Invoice/Creditmemo/Order","Hvis NEI, blir betaling ikke utført( belaste/ returnere/ tømme) på faktura/ kreditnota/ ordre."
"Can capture partial","Kan belaste deler"
"If NO, you cannot make partial invoices/refunds","Hvis NEI, kan du ikke skape delvis faktura/refusjon"
"Subscribe Newsletter Checked by default","Abonnere på nyhetsbrev sjekket av som standard"
"Register Guest Customers","Registrere gjest kunde"
"Url for Terms page","Url for vilkårsside"
"Replace checkout url with Svea Checkout","Erstatt kassen med Svea Chekcout"
"Layout options","Oppsett alternativer"
"Display Newsletter checkbox","Vis rute for avkryssing for nyhetsbrev"
"Display Discount Form","Vis skjema for rabatt"
"Display Comment","Vis kommentarfelt"
"Display link to a different payment method","Vis link til annen betalingsmetode"
"Display Additional block","Display Additional block"
"Additional block Content","Additional block Content"
"Crosssell Products","Kryssalg produkter"
"Display Crosssell Products","Vis kryssalg produkter"
"Number of Products","Antall produkter"
"New Order Status","Ny ordrestatus"
"Sort Order","Sortere ordre"
"Title","Tittel"
"Show More","Vis mer"
"Show Less","Vis mindre"
