"Column1","Column2"
"We can't update your Country / postal code.","Emme voi päivittää maa/ postinumerotietoa"
"Order redeived","Tilaus vastaanotettu"
"We can't update your comment.","Emme voi päivittää kommenttiasi"
"Invalid Quote hash","Invalid Quote hash"
"Found no svea order id.","Svea tilausnumeroa ei löydy"
"The Svea Order ID is invalid.","Svea tilausnumero on väärä"
"Found no Svea Order for this session. Please refresh the site or clear your cookies.","Tälle istunnolle ei löytynyt "
"Something went wrong when we tried to retrieve the order from Svea. Please try again or contact an admin.","Tilaustietoja Svealta haettaessa jotain meni vikaan. Yritä uudelleen tai ota yhteyttä tukeen."
"Something went wrong... Contact site admin.","Jotain meni vikaan..Ota yhteyttä tukeen."
"Found no quote object for this Svea order ID.","Tälle tilaukselle ei löytynyt tietoja."
"Please add shipping information.","Lisää toimitustietoja."
"The country or postal code doesn't match with the one you entered earlier. Please re-enter the new postal code for the shipping above.","Maakoodi tai postinumero ei täsmää aiemmin syöttämääsi. Ole hyvä ja syötä tiedot tilaukselle uudelleen. "
"Please choose a shipping method.","Valitse toimitustapa"
"Could not place the order.","Tilausta ei voitu luoda"
"We can't update shipping method.","Emme voi päivittää toimitustapaa"
"Order id missing","Tilausnumeroa ei löydy"
"An error occurred...","Virhe"
"Cannot update checkout (%1)","Kassaa ei voi päivittää (%1)"
"Cannot initialize Svea Checkout (%1)","Ei voida alustaa Svea Checkout:a (%1)"
"Svea Checkout","Svea Checkout"
"Invoice Fee","Laskutuslisä"
"Crosssell products","Rajoitetut tuotteet"
"Date:,Date:","Päivämäärä:,Päivämäärä:"
"Total:,Total:","Yhteensä:,Yhteensä:"
"You will be redirected to the Svea Checkout page.","Sinut uudelleenohjataan Svea Checkout sivulle"
"Svea","Svea"
"Connection","Yhteys"
"Enabled,Enabled","käytössä, käytössä"
"Testmode","Testiversio"
"Merchant ID","Kauppiastunnus"
"Merchant ID, you will get this from Svea.","Kauppiastunnus jonka saat Svealta"
"Shared Secret","Jaettu avain"
"The shared secret, you will get this from Svea.","Jaettu avain jonka saat Svealta"
"Settings,Settings","Asetukset, asetukset"
"Default Country","Oletus maa"
"Only if multiple countries are allowed. If this is invalid, the first allowed country will be used","Vain mikäli useampi maa on sallittu. Jos tämä on virheellinen, ensimmäinen mahdollinen maakoodi käytössä."
"Allowed Payment Countries","Maksuissa sallitut maat"
""Assure that selected countries are in <strong>Allow Countries</strong> list (<em>System &raquo"," Configuration &raquo"," General &raquo"," General</em>)"",""Varmista että valitut maat ovat <strong>Allow Countries</strong> list (<em>System &raquo"," Configuration &raquo"," General &raquo"," General</em>)""
"Capture/Refund payment","Hyvitä maksu"
"If NO, no payment operations will be done (Capture/Refund/Void) on Invoice/Creditmemo/Order","Jos ei, toimintoa ei voi suorittaa ( hyvitys/mitätöinti) laskulle/ erämaksulle."
"Can capture partial","Voi valita osittain"
"If NO, you cannot make partial invoices/refunds","Jos ei, et voi tehdä osittaista hyvitystä"
"Subscribe Newsletter Checked by default","Uutiskirjeen tilaus automaattisesti oletuksena"
"Register Guest Customers","Rekisteröi käyttäjä"
"Url for Terms page","Url toimitusehtoihin"
"Replace checkout url with Svea Checkout","Korvaa kassan url Svea Checkoutilla"
"Layout options","Asettelu vaihtoehdot"
"Display Newsletter checkbox","Näytä uutiskirjeen tilausvalinta"
"Display Discount Form","Näytä alennus"
"Display Comment","Näytä kommentti"
"Display link to a different payment method","Näytä linkki vaihtoehtoiseen maksutapaan"
"Display Additional block","Näytä vaihtoehtoinen valinta"
"Additional block Content","Vaihtoehtoisen valinnan sisältö"
"Crosssell Products","Rajoitetut tuotteet"
"Display Crosssell Products","Näytä rajoitetut tuotteet"
"Number of Products","Tuotteiden määrä"
"New Order Status","Uuden tilauksen status"
"Sort Order","Lajittele tilaukset"
"Title","Otsikko"
